state_name,country_code
Sichuan,CN
Guizhou,CN
Yunnan,CN
Tibet,CN
Shaanxi,CN
Gansu,CN
Qinghai,CN
Ningxia,CN
Xinjiang,CN
Hong Kong,CN
Macau,CN
Tokyo,JP
Kanagawa,JP
Osaka,JP
Aichi,JP
Fukuoka,JP
Hokkaido,JP
Hyogo,JP
Kyoto,JP
Saitama,JP
Chiba,JP
Shizuoka,JP
Ibaraki,JP
Hiroshima,JP
Niigata,JP
Miyagi,JP
Nagano,JP
Gifu,JP
Gunma,JP
Okayama,JP
Fukushima,JP
Kumamoto,JP
Kagoshima,JP
Yamaguchi,JP
Tochigi,JP
Mie,JP
Ehime,JP
Nagasaki,JP
Shiga,JP
Nara,JP
Aomori,JP
Iwate,JP
Yamagata,JP
Akita,JP
Ishikawa,JP
Fukui,JP
Toyama,JP
Wakayama,JP
Tottori,JP
Shimane,JP
Tokushima,JP
Kochi,JP
Saga,JP
Oita,JP
Miyazaki,JP
Kagawa,JP
Okinawa,JP
Yamanashi,JP
Gyeonggi-do,KR
Seoul,KR
Busan,KR
Incheon,KR
Daegu,KR
Daejeon,KR
Gwangju,KR
Ulsan,KR
Sejong,KR
Gangwon-do,KR
Chungcheongbuk-do,KR
Chungcheongnam-do,KR
Jeollabuk-do,KR
Jeollanam-do,KR
Gyeongsangbuk-do,KR
Gyeongsangnam-do,KR
Jeju-do,KR
Lombardy,IT
Lazio,IT
Campania,IT
Sicily,IT
Veneto,IT
Emilia-Romagna,IT
Piedmont,IT
Puglia,IT
Tuscany,IT
Calabria,IT
Sardinia,IT
Liguria,IT
Marche,IT
Abruzzo,IT
Friuli-Venezia Giulia,IT
Trentino-Alto Adige,IT
Umbria,IT
Basilicata,IT
Molise,IT
Valle d'Aosta,IT
Madrid,ES
Catalonia,ES
Andalusia,ES
Valencia,ES
Galicia,ES
Castile and León,ES
Basque Country,ES
Castile-La Mancha,ES
Canary Islands,ES
Murcia,ES
Aragon,ES
Extremadura,ES
Balearic Islands,ES
Asturias,ES
Navarre,ES
Cantabria,ES
La Rioja,ES
Ceuta,ES
Melilla,ES
Ontario,CA
Quebec,CA
British Columbia,CA
Alberta,CA
Manitoba,CA
Saskatchewan,CA
Nova Scotia,CA
New Brunswick,CA
Newfoundland and Labrador,CA
Prince Edward Island,CA
Northwest Territories,CA
Nunavut,CA
Yukon,CA
AB,CA
Azuay,EC
AZUAY,EC

